date,guns,germs,recreation
2020-01-13,50,3,20
2020-01-14,53,3,17
2020-01-15,53,4,16
2020-01-16,59,3,19
2020-01-17,59,3,17
2020-01-18,64,3,19
2020-01-19,61,3,15
2020-01-20,61,3,18
2020-01-21,60,4,17
2020-01-22,54,4,18
2020-01-23,53,4,16
2020-01-24,54,4,18
2020-01-25,68,5,18
2020-01-26,59,4,15
2020-01-27,50,4,19
2020-01-28,52,5,19
2020-01-29,52,5,19
2020-01-30,55,6,16
2020-01-31,56,5,17
2020-02-01,70,4,17
2020-02-02,64,4,13
2020-02-03,57,5,19
2020-02-04,64,6,20
2020-02-05,58,5,19
2020-02-06,59,5,19
2020-02-07,61,4,17
2020-02-08,68,4,17
2020-02-09,62,4,17
2020-02-10,53,6,19
2020-02-11,54,4,18
2020-02-12,53,5,19
2020-02-13,51,4,17
2020-02-14,55,4,16
2020-02-15,66,5,17
2020-02-16,63,4,15
2020-02-17,54,5,21
2020-02-18,52,5,19
2020-02-19,53,5,20
2020-02-20,54,4,18
2020-02-21,59,4,18
2020-02-22,63,4,18
2020-02-23,63,3,17
2020-02-24,54,5,22
2020-02-25,53,5,19
2020-02-26,56,7,19
2020-02-27,56,8,18
2020-02-28,65,7,17
2020-02-29,75,7,18
2020-03-01,74,6,17
2020-03-02,59,10,21
2020-03-03,57,10,20
2020-03-04,56,12,21
2020-03-05,59,12,20
2020-03-06,61,12,17
2020-03-07,68,11,16
2020-03-08,65,11,18
2020-03-09,53,13,21
2020-03-10,58,15,20
2020-03-11,58,18,20
2020-03-12,56,24,17
2020-03-13,59,29,19
2020-03-14,79,26,18
2020-03-15,81,26,16
2020-03-16,76,27,19
2020-03-17,79,23,16
2020-03-18,80,21,14
2020-03-19,85,19,11
2020-03-20,86,22,10
2020-03-21,100,19,11
2020-03-22,91,21,11
2020-03-23,79,19,11
2020-03-24,74,16,11
2020-03-25,71,17,13
2020-03-26,72,16,11
2020-03-27,72,16,10
2020-03-28,78,17,10
2020-03-29,79,15,12
2020-03-30,64,13,11
2020-03-31,64,16,11
2020-04-01,66,13,11
2020-04-02,66,13,11
2020-04-03,72,13,11
2020-04-04,77,13,11
2020-04-05,81,13,9
2020-04-06,64,10,10
2020-04-07,66,11,12
2020-04-08,63,9,11
2020-04-09,65,10,12
2020-04-10,74,10,11
2020-04-11,77,9,9
